title,category,Item Description,qty,msrp,Ext. Retail,Brand,upc,TCIN,Origin,Category,condition,Product Class,Category Code,Division,Department,Optoro Condition,Pallet ID,Subcategory,Lot ID,ebay_sold_count,ebay_sold_p50,ebay_active_count,ebay_active_p10,sell_through_proxy,listing_price,price_floor_used,days_adj_from_price
LPGS676642,IMAGING-OFFICE,Blink Outdoor 4 - Battery-Powered Smart Security Camera System,5,99.99,499.95,Amazon,840268928780,88763780,China,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS,56,CONSUMER ELECTRONICS,GARAGE & HARDWARE,TT,PTBH57666,SECURITY CAMERA,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS326673,TV-HOME ELECTRONICS,StoryPhones with 4 Educational Screen Free Audio Disks: For Ages 3-12 Reading Learning,12,39.99,479.88,StoryPhones,840173602720,92318717,China,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS,8,CONSUMER ELECTRONICS,TOYS,TT,PTBH57666,KID WIRELESS,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS826027,IMAGING-OFFICE,"Targus Citylite Laptop Bag 16"": Softside Nylon Messenger for Devices",12,39.99,479.88,Targus,92636248475,13726760,Cambodia,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS,56,CONSUMER ELECTRONICS,APPAREL,TT,PTBG30831,LAPTOP BAGS/SLEEVE,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS539788,IMAGING-OFFICE,Razer Kraken Kitty V2 Wired USB A Gaming Headset with Kitty Ears and Chroma RGB Lighting - Hello Kitty Edition: Compatible with Personal Computer,4,109.99,439.96,Razer,840272914656,92711201,China,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS-01,56,CONSUMER ELECTRONICS,ELECTRONICS,TT,PTBJ88575,GAMING HEADSETS,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS522782,NO-CONTRACT MOBILE-ACCESSORIES,"Apple iPad Pro 11"" (M4) Case - heyday Peri-Blue Debossed",12,34.99,419.88,Heyday,198850234505,93229809,China,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS-01,80,CONSUMER ELECTRONICS,ELECTRONICS,TT,PTBJ88575,IPAD CASES,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS913681,IMAGING-OFFICE,"STM Grace 15"" Sleeve - Green",14,29.99,419.86,STM,608410061088,91746464,China,MIXED_ELECTRONICS,NEW,ELECTRONICS,56,CONSUMER ELECTRONICS,ELECTRONICS,TT,PTBH57666,LAPTOP BAGS/SLEEVE,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS847750,IMAGING-OFFICE,"Targus 14"" Cypress Slim Briefcase with EcoSmart - Gray",10,39.99,399.9,Targus,92636344863,79804254,Cambodia,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS,56,CONSUMER ELECTRONICS,APPAREL,TT,PTBH57666,LAPTOP BAGS/SLEEVE,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPHQ328364,TV-HOME ELECTRONICS,StoryPhones with 4 Educational Screen Free Audio Disks: For Ages 3-12 Reading Learning,10,39.99,399.9,StoryPhones,840173602720,92318717,China,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS,8,CONSUMER ELECTRONICS,TOYS,TT,PTBG30831,KID WIRELESS,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS373921,IMAGING-OFFICE,Belkin USB-C to VGA Adapter with 60W Power Delivery: Male-To-Female Connection Adapter,14,26.99,377.86,Belkin,745883799046,91724816,China,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS,56,CONSUMER ELECTRONICS,ELECTRONICS,TT,PTBG30831,DOCKS,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS863929,IMAGING-OFFICE,Razer Viper V3 Pro Wireless Esports Gaming Mouse - Black: Video Game Hardware Accessory Set (Please be advised that sets may be missing pieces or otherwise incomplete.),2,159.99,319.98,Razer,840272913888,92750362,China,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS,56,CONSUMER ELECTRONICS,ELECTRONICS,TT,PTBH57666,GAMING MICE,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS835253,IMAGING-OFFICE,Razer Viper V3 Pro Wireless Esports Gaming Mouse - Black: Video Game Hardware Accessory Set (Please be advised that sets may be missing pieces or otherwise incomplete.),2,159.99,319.98,Razer,840272913888,92750362,China,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS,56,CONSUMER ELECTRONICS,ELECTRONICS,TT,PTBG30831,GAMING MICE,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS326459,IMAGING-OFFICE,"Targus Citylite Laptop Bag 16"": Softside Nylon Messenger for Devices",8,39.99,319.92,Targus,92636248475,13726760,Cambodia,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS,56,CONSUMER ELECTRONICS,APPAREL,TT,PTBH57666,LAPTOP BAGS/SLEEVE,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS536863,IMAGING-OFFICE,"Targus Citylite Laptop Bag 16"": Softside Nylon Messenger for Devices",8,39.99,319.92,Targus,92636248475,13726760,Cambodia,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS-01,56,CONSUMER ELECTRONICS,APPAREL,TT,PTBJ88575,LAPTOP BAGS/SLEEVE,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS373930,IMAGING-OFFICE,"j5create USB-C Dual 4K HDMI Dock: Black, Male-To-Female Adapters",4,75.99,303.96,j5create,847626007408,91955867,"Taiwan, Province of China",MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS,56,CONSUMER ELECTRONICS,ELECTRONICS,TT,PTBG30831,DOCKS,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS326474,IMAGING-OFFICE,"STM Grace 15"" Sleeve - Green",10,29.99,299.9,STM,608410061088,91746464,China,MIXED_ELECTRONICS,NEW,ELECTRONICS,56,CONSUMER ELECTRONICS,ELECTRONICS,TT,PTBG30831,LAPTOP BAGS/SLEEVE,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS946746,IMAGING-OFFICE,Blink Outdoor 4 - Battery-Powered Smart Security 3-Camera System,1,259.99,259.99,Amazon,840268972691,89144783,China,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS-01,56,CONSUMER ELECTRONICS,GARAGE & HARDWARE,TT,PTBJ88575,SECURITY CAMERA,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS312228,IMAGING-OFFICE,Razer Basilisk V3 Pro Black Edition,2,129.99,259.98,Razer,840272902981,92944843,China,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS,56,CONSUMER ELECTRONICS,ELECTRONICS,TT,PTBH57666,GAMING MICE,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPHQ223505,IMAGING-OFFICE,Razer Basilisk V3 Pro Black Edition,2,129.99,259.98,Razer,840272902981,92944843,China,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS,56,CONSUMER ELECTRONICS,ELECTRONICS,TT,PTBG30831,GAMING MICE,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS539726,NO-CONTRACT MOBILE-ACCESSORIES,"Apple iPad Pro 11"" (M4) Case - heyday Black Saffiano",7,34.99,244.93,Heyday,198420097479,92165968,China,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS-01,80,CONSUMER ELECTRONICS,ELECTRONICS,TT,PTBJ88575,IPAD CASES,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS836938,IMAGING-OFFICE,"STM Myth Brief - Black: Polyester Electronics Case for Laptops up to 17""",3,79.99,239.97,STM,810046114957,91724813,China,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS,56,CONSUMER ELECTRONICS,ELECTRONICS,TT,PTBH57666,LAPTOP BAGS/SLEEVE,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS825088,IMAGING-OFFICE,Amazon Blink Wi-Fi Video Doorbell - Black,4,59.99,239.96,Amazon,840080584669,82685726,China,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS,56,CONSUMER ELECTRONICS,GARAGE & HARDWARE,TT,PTBG30831,SMART DOORBELL,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS958496,IMAGING-OFFICE,JLab Epic Mini Wireless Keyboard,4,59.99,239.96,JLab,810119072269,91724844,China,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS-01,56,CONSUMER ELECTRONICS,ELECTRONICS,TT,PTBJ88575,KEYBOARD,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS328415,IMAGING-OFFICE,"Targus 14"" Cypress Slim Briefcase with EcoSmart - Gray",6,39.99,239.94,Targus,92636344863,79804254,Cambodia,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS,56,CONSUMER ELECTRONICS,APPAREL,TT,PTBG30831,LAPTOP BAGS/SLEEVE,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS847669,IMAGING-OFFICE,"15"" Laptop Sleeve - heyday Black & White Agate: Fits Most 15"" Models",12,19.99,239.88,Heyday,198420077334,91257254,China,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS,56,CONSUMER ELECTRONICS,ELECTRONICS,TT,PTBH57666,LAPTOP BAGS/SLEEVE,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS827416,IMAGING-OFFICE,"Satechi Slim X3 Bluetooth Keyboard - Space Gray: USB-C, Mechanical, Backlit",3,77.99,233.97,Satechi,879961009052,91724809,China,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS,56,CONSUMER ELECTRONICS,ELECTRONICS,TT,PTBH57666,KEYBOARD,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS820001,IMAGING-OFFICE,"Solo New York Re:Focus 15.6"" Laptop Sleeve - Gray: Solid Computer Case",10,22.99,229.9,Solo New York,30918014165,88379666,China,MIXED_ELECTRONICS,NEW,ELECTRONICS,56,CONSUMER ELECTRONICS,ELECTRONICS,TT,PTBG30831,LAPTOP BAGS/SLEEVE,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS326448,IMAGING-OFFICE,j5create 70W GaN USB-C 4-Port Charger: White Outlet Adapter,5,44.99,224.95,j5create,847626007583,91724858,"Taiwan, Province of China",MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS,56,CONSUMER ELECTRONICS,GARAGE & HARDWARE,TT,PTBH57666,LAPTOP ACCESSORIES,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS642750,IMAGING-OFFICE,Razer Kraken Kitty V2 Wired USB A Gaming Headset with Kitty Ears and Chroma RGB Lighting - Hello Kitty Edition: Compatible with Personal Computer,2,109.99,219.98,Razer,840272914656,92711201,China,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS,56,CONSUMER ELECTRONICS,ELECTRONICS,TT,PTBG30831,GAMING HEADSETS,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS832062,IMAGING-OFFICE,Philips 67.5W AC GaN Charging Kit: USB-C Wall Charger & 6' Cord,6,36.5,219.0,Philips,30878791663,89101438,Viet Nam,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS,56,CONSUMER ELECTRONICS,ELECTRONICS,TT,PTBH57666,LAPTOP ACCESSORIES,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS820110,IMAGING-OFFICE,"8MP 4K Digital Camera - heyday Black: Mirrorless, UHD Video, 512GB Capacity",3,69.99,209.97,Heyday,198420079178,91257227,China,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS,56,CONSUMER ELECTRONICS,ELECTRONICS,TT,PTBH57666,INSTANT CAMERAS,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPHQ332393,IMAGING-OFFICE,Targus Universal Charger Including all USB-C Devices - Black: Outlet Adapter 4.5A Power,3,69.99,209.97,Targus,92636369323,91724831,Philippines,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS,56,CONSUMER ELECTRONICS,GARAGE & HARDWARE,TT,PTBG30831,LAPTOP ACCESSORIES,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS832256,NO-CONTRACT MOBILE-ACCESSORIES,Apple iPad Pro 11 (4th Gen) and Air (5th Gen/M2/M3) Case - heyday Peri-Blue Debossed: Botanical Stylus Holder,6,34.99,209.94,Heyday,810186494407,93229806,China,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS,80,CONSUMER ELECTRONICS,ELECTRONICS,TT,PTBH57666,IPAD CASES,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS312587,NO-CONTRACT MOBILE-ACCESSORIES,"Apple iPad Pro 11"" (M4) Case - heyday Peri-Blue Debossed",6,34.99,209.94,Heyday,198850234505,93229809,China,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS,80,CONSUMER ELECTRONICS,ELECTRONICS,TT,PTBH57666,IPAD CASES,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS821650,NO-CONTRACT MOBILE-ACCESSORIES,"Apple iPad Pro 11"" (M4) Case - heyday Black Saffiano",6,34.99,209.94,Heyday,198420097479,92165968,China,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS,80,CONSUMER ELECTRONICS,ELECTRONICS,TT,PTBG30831,IPAD CASES,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS554107,NO-CONTRACT MOBILE-ACCESSORIES,"ZAGG Apple iPad Air/iPad Pro 11"" Messenger Folio 2 Keyboard: Tablet Case for Apple iPad",3,69.98,209.94,ZAGG,840390335777,92594592,China,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS-01,80,CONSUMER ELECTRONICS,ELECTRONICS,TT,PTBJ88575,IPAD CASES,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS940259,IMAGING-OFFICE,SteelSeries Exclusive Nova 7 Headset with Booster Pack: USB-C Wireless Bluetooth,1,199.99,199.99,SteelSeries,810164140234,92638822,China,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS-01,56,CONSUMER ELECTRONICS,ELECTRONICS,TT,PTBJ88575,GAMING HEADSETS,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPHQ064880,IMAGING-OFFICE,Blink Outdoor 4 - Battery-Powered Smart Security Camera System,2,99.99,199.98,Amazon,840268928780,88763780,China,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS,56,CONSUMER ELECTRONICS,GARAGE & HARDWARE,TT,PTBG30831,SECURITY CAMERA,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS536862,IMAGING-OFFICE,"Targus 14"" Cypress Slim Briefcase with EcoSmart - Gray",5,39.99,199.95,Targus,92636344863,79804254,Cambodia,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS-01,56,CONSUMER ELECTRONICS,APPAREL,TT,PTBJ88575,LAPTOP BAGS/SLEEVE,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS729652,IMAGING-OFFICE,"Solo New York Duane 16"" Hybrid Laptop Bag - Gray",4,48.99,195.96,Solo New York,30918010402,88379667,China,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS,56,CONSUMER ELECTRONICS,APPAREL,TT,PTBH57666,LAPTOP BAGS/SLEEVE,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS552095,IMAGING-OFFICE,"Solo New York Duane 16"" Hybrid Laptop Bag - Gray",4,48.99,195.96,Solo New York,30918010402,88379667,China,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS-01,56,CONSUMER ELECTRONICS,APPAREL,TT,PTBJ88575,LAPTOP BAGS/SLEEVE,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS654049,IMAGING-OFFICE,"Solo New York Re:Focus 15.6"" Laptop Sleeve - Gray: Solid Computer Case",8,22.99,183.92,Solo New York,30918014165,88379666,China,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS,56,CONSUMER ELECTRONICS,ELECTRONICS,TT,PTBH57666,LAPTOP BAGS/SLEEVE,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS533035,IMAGING-OFFICE,Philips 67.5W AC GaN Charging Kit: USB-C Wall Charger & 6' Cord,5,36.5,182.5,Philips,30878791663,89101438,Viet Nam,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS-01,56,CONSUMER ELECTRONICS,ELECTRONICS,TT,PTBJ88575,LAPTOP ACCESSORIES,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS481689,IMAGING-OFFICE,Blink Wi-Fi Video Doorbell - White,3,59.99,179.97,Amazon,840080510965,83783331,China,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS,56,CONSUMER ELECTRONICS,GARAGE & HARDWARE,TT,PTBH57666,SMART DOORBELL,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS373490,IMAGING-OFFICE,JLab Epic Mini Wireless Keyboard,3,59.99,179.97,JLab,810119072269,91724844,China,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS,56,CONSUMER ELECTRONICS,ELECTRONICS,TT,PTBH57666,KEYBOARD,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPHQ232422,IMAGING-OFFICE,JLab Epic Mini Wireless Keyboard,3,59.99,179.97,JLab,810119072269,91724844,China,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS,56,CONSUMER ELECTRONICS,ELECTRONICS,TT,PTBG30831,KEYBOARD,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPHQ338022,IMAGING-OFFICE,Sunpak Light Stick,6,29.99,179.94,Sunpak,90729615562,92162673,China,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS,56,CONSUMER ELECTRONICS,ELECTRONICS,TT,PTBH57666,VLOGGING,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS832039,IMAGING-OFFICE,j5create Eco-Friendly USB-C to 4-Port USB-C Gen 2 Hub,5,34.99,174.95,j5create,847626006869,91724823,"Taiwan, Province of China",MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS,56,CONSUMER ELECTRONICS,ELECTRONICS,TT,PTBH57666,LAPTOP ACCESSORIES,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPHQ062063,NO-CONTRACT MOBILE-ACCESSORIES,"Apple iPad Pro 11"" (M4) Case - heyday Peri-Blue Debossed",5,34.99,174.95,Heyday,198850234505,93229809,China,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS,80,CONSUMER ELECTRONICS,ELECTRONICS,TT,PTBG30831,IPAD CASES,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPHQ213342,UNCATEGORIZED,"Lexmark High-Yield Toner, 2000 Page-Yield - Magenta (C540H1MG)",2,84.99,169.98,,734646083478,51924929,,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS-01,-1,,,TT,PTBJ88575,,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPHQ213340,UNCATEGORIZED,"Lexmark High-Yield Toner, 2000 Page-Yield - Cyan (C540H1CG)",2,84.99,169.98,,734646083461,51924959,,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS-01,-1,,,TT,PTBJ88575,,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS657662,IMAGING-OFFICE,"Epson 126XL C/M/Y 3pk Ink Cartridges - Cyan, Magenta, Yellow (T126520-CP) (Please be advised that sets may be missing pieces or otherwise incomplete.)",3,55.99,167.97,Epson,10343876248,13798777,Indonesia,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS,56,CONSUMER ELECTRONICS,ELECTRONICS,TT,PTBH57666,EPSON,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPHQ222032,IMAGING-OFFICE,"Belkin USB-C to Ethernet Adapter with 100W Power Delivery: RJ-45, Male-To-Female Connection",7,23.99,167.93,Belkin,745883877584,91724812,Viet Nam,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS,56,CONSUMER ELECTRONICS,ELECTRONICS,TT,PTBH57666,DOCKS,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS312179,IMAGING-OFFICE,Belkin USB-C to VGA Adapter with 60W Power Delivery: Male-To-Female Connection Adapter,6,26.99,161.94,Belkin,745883799046,91724816,China,MIXED_ELECTRONICS,NEW,ELECTRONICS,56,CONSUMER ELECTRONICS,ELECTRONICS,TT,PTBH57666,DOCKS,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS019408,IMAGING-OFFICE,"Solo New York Re:Focus 15.6"" Laptop Sleeve - Gray: Solid Computer Case",7,22.99,160.93,Solo New York,30918014165,88379666,China,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS,56,CONSUMER ELECTRONICS,ELECTRONICS,TT,PTBG30831,LAPTOP BAGS/SLEEVE,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS667840,IMAGING-OFFICE,"Satechi Slim X2 Bluetooth Keyboard - Space Gray: Mechanical, Backlit, USB-C",2,79.99,159.98,Satechi,879961009045,91724814,China,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS,56,CONSUMER ELECTRONICS,ELECTRONICS,TT,PTBH57666,KEYBOARD,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPHQ185555,IMAGING-OFFICE,JLab Work Buds True Wireless Bluetooth In-Ear Headset - Black: USB-C Silicon Ear Cushion,2,79.99,159.98,JLab,810119071033,89130225,China,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS-01,56,CONSUMER ELECTRONICS,ELECTRONICS,TT,PTBJ88575,COMPUTER HEADSET,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS681463,IMAGING-OFFICE,"Targus Citylite Laptop Bag 16"": Softside Nylon Messenger for Devices",4,39.99,159.96,Targus,92636248475,13726760,Cambodia,MIXED_ELECTRONICS,NEW,ELECTRONICS,56,CONSUMER ELECTRONICS,APPAREL,TT,PTBG30831,LAPTOP BAGS/SLEEVE,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS537823,NO-CONTRACT MOBILE-ACCESSORIES,6-Port Charging Hub Vertical 2C + 4A - heyday Black Saffiano: USB Tower Charger,4,39.99,159.96,Heyday,197543409138,88669060,Viet Nam,MIXED_ELECTRONICS,NEW,ELECTRONICS-01,80,CONSUMER ELECTRONICS,ELECTRONICS,TT,PTBJ88575,HOME CHARGING,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS652009,IMAGING-OFFICE,"Dabney Lee 14"" Laptop Sleeve-Lilac Purple",8,19.99,159.92,Dabney Lee,191205670966,89130231,China,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS,56,CONSUMER ELECTRONICS,ELECTRONICS,TT,PTBH57666,LAPTOP BAGS/SLEEVE,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS681460,IMAGING-OFFICE,"15"" Laptop Sleeve - heyday Black & White Agate: Fits Most 15"" Models",8,19.99,159.92,Heyday,198420077334,91257254,China,MIXED_ELECTRONICS,NEW,ELECTRONICS,56,CONSUMER ELECTRONICS,ELECTRONICS,TT,PTBG30831,LAPTOP BAGS/SLEEVE,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
