upc,title,Model #,condition,category,Department,qty,Unit Retail,msrp,Unit Weight,Pallet ID,Inventory Source,ebay_sold_count,ebay_sold_p50,ebay_active_count,ebay_active_p10,sell_through_proxy,listing_price,price_floor_used,days_adj_from_price
693232399839,8967522948-100010,Cozy Comfort,"Cozy Comfort Queen Bed Sheets with Side Pocket,4 Pieces Polyester Microfiber Cooling Bed Sheet Set,B (please be advised that sets may be missing pieces or otherwise incomplete)",BEDDING,KITCHEN BED AND BATH DECOR OUTDOOR,1,140.99,140.99,2.46,91860179,Walmart Dot Com Returns,0,,0,,0.0,,,0.0
19254572964,375658761-100010,VIPRB-HEW3YM86BN,"HP 910XL Ink Cartridges - Cyan, Magenta, Yellow, 3 Cartridges (3YM86BN)",OFFICE_SUPPLIES,ELECTRONICS,1,114.04,114.04,0.39,91860179,Walmart Dot Com Returns,0,,0,,0.0,,,0.0
81967702542,418350764-100010,819677025427,"Kitsch Satin Hair Scrunchies for Women - Softer than Silk, Satin Scrunchie, 5 Pack (Assorted) (please be advised that sets may be missing pieces or otherwise incomplete)",ACCESSORIES,HEALTH BEAUTY AND PERSONAL CARE,1,99.99,99.99,0.1,91860179,Walmart Dot Com Returns,0,,0,,0.0,,,0.0
74027530401,14296166550,SVB04006,"Savannah Bananas Fanny Pack, One Size Fits Most, Yellow",BAGS_AND_LUGGAGE,ACCESSORIES AND TRAVEL,5,19.96,99.8,0.3,91864027,Walmart Dot Com Returns,0,,0,,0.0,,,0.0
1003600034348,987050705-100010,34348,"Pro Electronic Hard Roll Towel Dispenser, 12.66 X 9.18 X 16.44, Smoke",HOUSEHOLD_ESSENTIALS,TOOLS EQUIPMENT AND INDUSTRIAL,1,86.69,86.69,4.79,91860179,Walmart Dot Com Returns,0,,0,,0.0,,,0.0
84927808990,443579433-100010,8988,HydroTech 5/8 x 75 ft Expandable Garden Hose,OUTDOOR_LIVING_AND_GARDEN,KITCHEN BED AND BATH DECOR OUTDOOR,1,82.49,82.49,4.39,91864027,Walmart Dot Com Returns,0,,0,,0.0,,,0.0
19346877356,350711266-56301,,"ACDelco Genuine GM Window Wiper Blade, Beam w/ Spoiler 22",AUTOMOTIVE_ACCESSORIES,AUTOMOTIVE PARTS AND ACCESSORIES,4,19.13,76.52,0.5,91860179,Walmart Dot Com Returns,0,,0,,0.0,,,0.0
88530837563,47492201-453134,Solid Thermapanel Room-Darkening Curtains,Eclipse Solid Thermapanel Room Darkening Rod Pocket 54 x 84 Panel in Blue River,HOME_DECOR,KITCHEN BED AND BATH DECOR OUTDOOR,4,18.99,75.96,0.9,91864027,Walmart Dot Com Returns,0,,0,,0.0,,,0.0
84026676825,14550057120-99990,,"12.87 x 13 Glass 3-Tier Dessert Stand, by Way To Celebrate",KITCHEN_AND_DINING,KITCHEN BED AND BATH DECOR OUTDOOR,3,24.43,73.28999999999999,4.3,91864027,Walmart Dot Com Returns,0,,0,,0.0,,,0.0
8698184717,1032809914-296173,09-DS-84717,"Prinz Homestead Distressed Walnut 9-Opening Collage Picture Frame, for 4x6 Photos, Wall Hanging",HOME_DECOR,KITCHEN BED AND BATH DECOR OUTDOOR,1,69.99,69.99,4.17,91864027,Walmart Dot Com Returns,0,,0,,0.0,,,0.0
64699864338,49911659-740217,1Z40420GAQ,"CHF Watecolor Floral Indoor , 100% Polyester , Light Filtering Single Panel Rod Pocket , Aqua , 50x8",HOME_DECOR,KITCHEN BED AND BATH DECOR OUTDOOR,4,14.99,59.96,1.3,91864027,Walmart Dot Com Returns,0,,0,,0.0,,,0.0
2096865278,258745587,4798OP02-DSTO,"Outdoor Products Venture 17 L Backpack, Green, Adult, Teen, Polyester",BAGS_AND_LUGGAGE,OUTDOOR,4,14.97,59.88,1.11,91860179,Walmart Dot Com Returns,0,,0,,0.0,,,0.0
3700071685,235174692,00037000716853,"Pampers Cruisers 360 Pull-On Baby Diapers Size 7, 88 Count (Select for More Options)",BABY_ESSENTIALS,BABY,1,56.0,56.0,8.14,91864027,Walmart Dot Com Returns,0,,0,,0.0,,,0.0
19005228737,5707225480-745547,52X84CT-SL(TB)-SW,"Superior Blackout Solid Light Filtering Back Tab Curtain Panel Set, 52X 84, Snow White (please be advised that sets may be missing pieces or otherwise incomplete)",HOME_DECOR,KITCHEN BED AND BATH DECOR OUTDOOR,2,27.75,55.5,2.62,91864027,Walmart Dot Com Returns,0,,0,,0.0,,,0.0
19621410513,13816151308,ITM0016767,Pokemon Scarlet & Violet - Prismatic Evolutions Elite Trainer Box,TOYS,TOYS GAMES AND HOBBY,1,55.0,55.0,1.5,91860179,Walmart Dot Com Returns,0,,0,,0.0,,,0.0
68847451237,869739879-100010,SOLID_6PC_K_WHT,Lux Decor Collection King 6 Piece Sheets Set - Microfiber 16 Inch Deep Pocket Bed Sheets - White (please be advised that sets may be missing pieces or otherwise incomplete),BEDDING,BABY,1,49.99,49.99,4.38,91860179,Walmart Dot Com Returns,0,,0,,0.0,,,0.0
75463173579,5046578471-100010,No Description Provided,Pennysue Womens Cork Footbed Slide Sandals Light Brown Adjustable Buckle Slipper Shoes with Arch Sup,WOMENS_SHOES,FOOTWEAR,1,49.99,49.99,1.0,91860179,Walmart Dot Com Returns,0,,0,,0.0,,,0.0
